n_iter,W,FRAC,est_2m_i,mse,ci95_low,ci95_high,pass
12,22,20,0.000244140625,2.15685558206502e-08,2.13016299045087e-08,2.18354817367917e-08,0
13,22,20,0.0001220703125,5.47686212179599e-09,5.4098044707302e-09,5.54391977286178e-09,0
14,22,20,6.103515625e-05,1.35924255495468e-09,1.34245032057277e-09,1.37603478933658e-09,0
15,22,20,3.0517578125e-05,3.44199615156526e-10,3.39952262695789e-10,3.48446967617264e-10,0
16,22,20,1.52587890625e-05,8.81685802056609e-11,8.70798408306148e-11,8.92573195807069e-11,0
17,22,20,7.62939453125e-06,2.57534444614294e-11,2.54364984144465e-11,2.60703905084122e-11,0
18,22,20,3.814697265625e-06,1.000370197346e-11,9.88103359689064e-12,1.01263703500294e-11,1
19,22,20,1.9073486328125e-06,6.30543503632452e-12,6.22719309592941e-12,6.38367697671964e-12,1
20,22,20,9.5367431640625e-07,5.62207482346366e-12,5.55179465054459e-12,5.69235499638273e-12,1
21,22,20,4.76837158203125e-07,5.63977586409692e-12,5.56906682469944e-12,5.71048490349439e-12,1
22,22,20,2.38418579101562e-07,5.89088507751967e-12,5.81665975247277e-12,5.96511040256657e-12,1
23,22,20,1.19209289550781e-07,7.05007018098058e-12,6.96118385310435e-12,7.13895650885682e-12,1
24,22,20,5.96046447753906e-08,9.11733117447966e-12,9.00481144880531e-12,9.22985090015401e-12,1
12,23,21,0.000244140625,2.15674287861845e-08,2.1300510017444e-08,2.1834347554925e-08,0
13,23,21,0.0001220703125,5.47549396323177e-09,5.40845124553081e-09,5.54253668093273e-09,0
14,23,21,6.103515625e-05,1.35681447467562e-09,1.34004647230007e-09,1.37358247705116e-09,0
15,23,21,3.0517578125e-05,3.4149577494702e-10,3.37273423884191e-10,3.4571812600985e-10,0
16,23,21,1.52587890625e-05,8.52703605147553e-11,8.42108205400089e-11,8.63299004895018e-11,0
17,23,21,7.62939453125e-06,2.25374632378816e-11,2.2255095138103e-11,2.28198313376603e-11,1
18,23,21,3.814697265625e-06,6.55517432335273e-12,6.47073954606692e-12,6.63960910063854e-12,1
19,23,21,1.9073486328125e-06,2.61246590582687e-12,2.5779933468503e-12,2.64693846480343e-12,1
20,23,21,9.5367431640625e-07,1.72042440738096e-12,1.69814478063739e-12,1.74270403412453e-12,1
21,23,21,4.76837158203125e-07,1.54849921329969e-12,1.52892115755278e-12,1.56807726904661e-12,1
22,23,21,2.38418579101562e-07,1.55697001957833e-12,1.53762402412259e-12,1.57631601503407e-12,1
23,23,21,1.19209289550781e-07,1.62003097159413e-12,1.59993333720664e-12,1.64012860598163e-12,1
24,23,21,5.96046447753906e-08,1.91011089611948e-12,1.88612289818845e-12,1.9340988940505e-12,1
12,24,22,0.000244140625,2.15661410440049e-08,2.12992454426216e-08,2.18330366453882e-08,0
13,24,22,0.0001220703125,5.47449559498148e-09,5.40746949736024e-09,5.54152169260271e-09,0
14,24,22,6.103515625e-05,1.35582108079291e-09,1.33906945019651e-09,1.3725727113893e-09,0
15,24,22,3.0517578125e-05,3.40630100268413e-10,3.3642454423018e-10,3.44835656306646e-10,0
16,24,22,1.52587890625e-05,8.44399895782999e-11,8.33962845367653e-11,8.54836946198345e-11,0
17,24,22,7.62939453125e-06,2.16317912560271e-11,2.13658045933185e-11,2.18977779187357e-11,1
18,24,22,3.814697265625e-06,5.59917658904396e-12,5.53069151273299e-12,5.66766166535494e-12,1
19,24,22,1.9073486328125e-06,1.62119967228591e-12,1.60159425618345e-12,1.64080508838838e-12,1
20,24,22,9.5367431640625e-07,6.52087024377579e-13,6.44333299551197e-13,6.5984074920396e-13,1
21,24,22,4.76837158203125e-07,4.22354347051623e-13,4.17232491854301e-13,4.27476202248946e-13,1
22,24,22,2.38418579101562e-07,3.78577524884349e-13,3.73887690611351e-13,3.83267359157348e-13,1
23,24,22,1.19209289550781e-07,3.80871156835383e-13,3.76152629243844e-13,3.85589684426922e-13,1
24,24,22,5.96046447753906e-08,3.95151928955784e-13,3.9025076172507e-13,4.00053096186497e-13,1
12,25,23,0.000244140625,2.15654713313285e-08,2.12985898380999e-08,2.1832352824557e-08,0
13,25,23,0.0001220703125,5.47469569859516e-09,5.40766496377815e-09,5.54172643341216e-09,0
14,25,23,6.103515625e-05,1.35581174340871e-09,1.3390601956368e-09,1.37256329118062e-09,0
15,25,23,3.0517578125e-05,3.40481224228029e-10,3.36276425905539e-10,3.44686022550518e-10,0
16,25,23,1.52587890625e-05,8.42663960298751e-11,8.32236442960334e-11,8.53091477637168e-11,0
17,25,23,7.62939453125e-06,2.14336373716151e-11,2.11694007577483e-11,2.16978739854819e-11,1
18,25,23,3.814697265625e-06,5.38530919413915e-12,5.31883237834652e-12,5.45178600993179e-12,1
19,25,23,1.9073486328125e-06,1.40240679513681e-12,1.38510516875872e-12,1.41970842151491e-12,1
20,25,23,9.5367431640625e-07,4.11429610380765e-13,4.06376797940819e-13,4.1648242282071e-13,1
21,25,23,4.76837158203125e-07,1.65766849136162e-13,1.63712196231439e-13,1.67821502040884e-13,1
22,25,23,2.38418579101562e-07,1.09195141817509e-13,1.07853802477083e-13,1.10536481157934e-13,1
23,25,23,1.19209289550781e-07,9.87231629778762e-14,9.75205805443825e-14,9.99257454113699e-14,1
24,25,23,5.96046447753906e-08,9.94172211221667e-14,9.82073910295158e-14,1.00627051214818e-13,1
12,26,24,0.000244140625,2.15654943340837e-08,2.12986132448165e-08,2.18323754233509e-08,0
13,26,24,0.0001220703125,5.474681407307e-09,5.40765153216511e-09,5.54171128244889e-09,0
14,26,24,6.103515625e-05,1.35576220195333e-09,1.33901132084607e-09,1.37251308306058e-09,0
15,26,24,3.0517578125e-05,3.40417288455797e-10,3.36212986599821e-10,3.44621590311773e-10,0
16,26,24,1.52587890625e-05,8.42260149624963e-11,8.31838723637361e-11,8.52681575612565e-11,0
17,26,24,7.62939453125e-06,2.1377990435667e-11,2.11144253310232e-11,2.16415555403109e-11,1
18,26,24,3.814697265625e-06,5.33343758490901e-12,5.26760142861288e-12,5.39927374120513e-12,1
19,26,24,1.9073486328125e-06,1.34977398147385e-12,1.33309387574582e-12,1.36645408720187e-12,1
20,26,24,9.5367431640625e-07,3.55023033193902e-13,3.5063830796575e-13,3.59407758422054e-13,1
21,26,24,4.76837158203125e-07,1.05168638242503e-13,1.03847810840216e-13,1.0648946564479e-13,1
22,26,24,2.38418579101562e-07,4.42660308408449e-14,4.36986814504821e-14,4.48333802312077e-14,1
23,26,24,1.19209289550781e-07,3.01793789958538e-14,2.97980851418786e-14,3.05606728498289e-14,1
24,26,24,5.96046447753906e-08,2.73598033118105e-14,2.70176962416754e-14,2.77019103819456e-14,1
12,27,25,0.000244140625,2.1565464606681e-08,2.12985846643902e-08,2.18323445489717e-08,0
13,27,25,0.0001220703125,5.47464349057947e-09,5.40761355005459e-09,5.54167343110435e-09,0
14,27,25,6.103515625e-05,1.35574792878401e-09,1.33899693825912e-09,1.3724989193089e-09,0
15,27,25,3.0517578125e-05,3.40406042393937e-10,3.36201848500187e-10,3.44610236287687e-10,0
16,27,25,1.52587890625e-05,8.42149510837942e-11,8.31730123404155e-11,8.52568898271728e-11,0
17,27,25,7.62939453125e-06,2.13597020781719e-11,2.10964243891655e-11,2.16229797671784e-11,1
18,27,25,3.814697265625e-06,5.320045950441e-12,5.25442825581038e-12,5.38566364507162e-12,1
19,27,25,1.9073486328125e-06,1.33535515089989e-12,1.31888228882533e-12,1.35182801297444e-12,1
20,27,25,9.5367431640625e-07,3.39996528708753e-13,3.35826038523667e-13,3.44167018893838e-13,1
21,27,25,4.76837158203125e-07,8.89829721018032e-14,8.78936530779958e-14,9.00722911256106e-14,1
22,27,25,2.38418579101562e-07,2.68071076447995e-14,2.64770767574367e-14,2.71371385321624e-14,1
23,27,25,1.19209289550781e-07,1.15669251954387e-14,1.14241038700355e-14,1.17097465208418e-14,1
24,27,25,5.96046447753906e-08,7.90880250178816e-15,7.81197903195573e-15,8.00562597162059e-15,1
12,28,26,0.000244140625,2.15654835914814e-08,2.12986036007037e-08,2.18323635822591e-08,0
13,28,26,0.0001220703125,5.47462193643877e-09,5.40759197963308e-09,5.54165189324447e-09,0
14,28,26,6.103515625e-05,1.35575336619453e-09,1.33900238998807e-09,1.372504342401e-09,0
15,28,26,3.0517578125e-05,3.40399892331256e-10,3.36195621894216e-10,3.44604162768296e-10,0
16,28,26,1.52587890625e-05,8.42122001509793e-11,8.31702234645846e-11,8.5254176837374e-11,0
